<<<<<<< HEAD
,Website,Domain,Comments
572,fellowshipoftheminds,fellowshipoftheminds.com,", conspiracy, junksci, "
573,Feminist Frequency,feministfrequency.com,"left_center, "
574,Fifth Estate,fifthestate.org,"left, "
575,Filming Cops,filmingcops.com,"left, "
576,filmsforaction,filmsforaction.org,", political, "
577,Financial Express,financialexpress.com,"least_biased, "
578,Financial Post,financialpost.com,"right_center, "
579,financialsurvivalnetwork,financialsurvivalnetwork.com,", unreliable, bias, "
580,firearmscoalition,firearmscoalition.org,", bias, blog, A single-issue blog, it hasn't been updated since August 2016. It talks about guns, has lots of dead links, and has trouble distinguishing between legitimate and illegitimate sources."
581,firstpost,firstpost.com,", some fake stories, "
582,FiveThirtyEight,fivethirtyeight.com,"left_center, "
583,flashnewscorner,flashnewscorner.com,", fake news, fake, "
584,floridasunpost,floridasunpost.com,", parody site, fake, satirical, I concur: http://mashable.com/2016/10/03/fake-news-story-man-marries-granddaughter/#QvpAzP.e8Oqb"
585,FM Observer,fmobserver.com,"satire, satire, "
586,focusnews,focusnews.info,", fake news, "
587,Focus on the Family,focusonthefamily.com,"questionable, "
588,fognews.ru,fognews.ru,", satire, site contains satire disclaimer"
589,Food Babe,foodbabe.com,"pseudoscience, junksci, "
590,Forbes,forbes.com,"right_center, "
591,Foreign Affairs,foreignaffairs.com,"least_biased, "
592,Foreign Policy,foreignpolicy.com,"least_biased, "
593,Foreign Policy Initiative,foreignpolicyi.org,"right_center, "
594,foreignpolicyjournal,foreignpolicyjournal.com,", political, legit source coming from a political perspective"
595,Fortune Magazine,fortune.com,"right_center, "
596,The Forward,forward.com,"left_center, "
597,Forward Progressives,forwardprogressives.com,"left, "
598,fourwinds10,fourwinds10.net,", conspiracy, junksci, "
599,fox-news24,fox-news24.com,", imposter site, "
600,Fox News,foxnews.com,"right, "
601,Foreign Policy Research Institute,fpri.org,"right_center, "
602,fprnradio,fprnradio.com,", conspiracy, fake, "
603,France24,france24.com/en,"left_center, "
604,Franklin Center for Government and Public Integrity,franklincenterhq.org,"right_center, "
605,Family Research Council,frc.org,"questionable, "
606,Freakonomics,freakonomics.com,"left_center, "
607,Freakout Nation,freakoutnation.com,"questionable, bias, "
608,freebeacon,freebeacon.com,", bias, "
609,Washington Free Beacon,freebeacon.com,"right, "
610,freedomcrossroads.us,freedomcrossroads.us,", fake news, "
611,Freedom Daily,freedomdaily.com,"questionable, fake news, fake, "
612,freedomforceinternational,freedomforceinternational.com,", conspiracy, global warming denial"
613,Freedom House,freedomhouse.org,"right_center, "
614,Freedom Liberty News,freedomlibertynews.com,"questionable, "
615,Freedom Outpost,freedomoutpost.com,"questionable, conspiracy, bias, "
616,Freedom’s Final Stand,freedomsfinalstand.com,"questionable, fake news, "
617,freedomsphoenix,freedomsphoenix.com,", bias, conspiracy, "
618,Freedom Works,freedomworks.org,"right, political, "
619,freedomworldnews,freedomworldnews.com,", bias, unreliable, "
620,International Press Institute,freemedia.at,"least_biased, "
621,Detroit Free Press,freep.com,"left_center, "
622,Free Press,freepress.net,"left_center, "
623,Free West Media,freewestmedia.com,"least_biased, "
624,Free Wood Post,freewoodpost.com,"satire, parody site, satire, "
625,freshdailyreport,freshdailyreport.com,", fake news, fake, "
626,Fresno Bee,fresnobee.com,"left_center, "
627,fridaymash,fridaymash.com,", satire, "
628,Friends of Science,friendsofscience.org,"pseudoscience, "
629,From the Trenches World Report,fromthetrenchesworldreport.com,"pseudoscience, conspiracy, junksci, bias, "
630,Move On,front.moveon.org,"left, "
631,frontpagemag,frontpagemag.com,", bias, hate, Part of David Horowitz' Freedom Center"
632,Frontpage Magazine,frontpagemag.com,"questionable, "
633,Financial Times,ft.com,"least_biased, "
634,Full Fact (UK),fullfact.org,"least_biased, "
635,Fury News,fury.news,"questionable, "
636,Fusion,fusion.net,"left_center, political, reliable, website contains some satire"
637,Future in America,futureinamerica.com/news,"right, "
638,Government Accountability Institute,g-a-i.org,"right, "
639,gaia,gaia.com,", conspiracy, junksci, "
640,galacticconnection,galacticconnection.com,", junksci, "
641,Gallup,gallup.com/home.aspx,"least_biased, "
642,gangstergovernment,gangstergovernment.com,", conspiracy, bias, "
643,gatesofvienna,gatesofvienna.net,", hate, conspiracy, "
644,Gatestone Institute,gatestoneinstitute.org,"right, "
645,Gawken,gawken.com,"satire, "
646,Colorado Springs Gazette,gazette.com,"right_center, "
647,GeoEngineering Watch,geoengineeringwatch.org,"pseudoscience, junksci, conspiracy, "
648,Geology In,geologyin.com,"pro_science, "
649,Covert Geopolitics,geopolitics.co,"pseudoscience, "
650,geopolmonitor,geopolmonitor.com,", political, this website is tricky (in terms of writers using some interesting frames/language). def could use a second analysis."
651,givemeliberty01,givemeliberty01.com,", fake news, fake, "
652,Gizmodo,gizmodo.com,"left, "
653,Glamour Magazine,glamour.com,"left_center, "
654,glaringhypocrisy,glaringhypocrisy.com,", hate, conspiracy, references to ""Jew World Order"""
655,Global Info Today,globalinfotoday.com,"questionable, "
656,Global Integrity,globalintegrity.org,"least_biased, "
657,Global News,globalnews.ca,"left_center, "
658,globalpoliticsnow,globalpoliticsnow.com,", fake news, fake, "
659,Global Research,globalresearch.ca,"pseudoscience, conspiracy, "
660,Global Skywatch,globalskywatch.com,"pseudoscience, "
661,Global Times,globaltimes.cn,"left_center, "
662,glossynews,glossynews.com,", satire, "
663,Godlike Productions,godlikeproductions.com,"pseudoscience, conspiracy, "
664,Gomer Blog,gomerblog.com,"satire, satire, site contains satire disclaimer"
665,Gone Left,goneleft.com,"questionable, fake, "
666,Good Magazine,good.is,"left, "
667,GoodGopher,goodgopher.com,"questionable, "
668,GoodNewsNetwork,goodnewsnetwork.org,"least_biased, "
669,GOP.com,gop.com,"right, "
670,gopthedailydose,gopthedailydose.com,", fake, conspiracy, bias, "
671,Governing Magazine,governing.com,"left_center, "
672,Government Executive,govexec.com,"least_biased, "
673,GovTrack,govtrack.us,"least_biased, "
674,Government Slaves,govtslaves.info,"pseudoscience, "
675,govtslaves,govtslaves.info,", conspiracy, "
676,GQ Magazine,gq.com,"left, "
677,greanvillepost,greanvillepost.com,", conspiracy, "
678,greenmedinfo,greenmedinfo.com,", junksci, "
679,Greenpeace,greenpeace.org/usa,"pseudoscience, "
680,Greensboro News and Record,greensboro.com,"left_center, "
681,Greenville Gazette,greenvillegazette.com,"left, "
682,Grist,grist.org,"left_center, "
683,Group of Thirty,group30.org,"right_center, "
684,Guardian Liberty Voice,guardianlv.com,"left, "
685,guardianlv,guardianlv.com,", political, "
686,guccifer2.wordpress,guccifer2.wordpress.com,", unreliable, "
687,Gulag Bound,gulagbound.com,"pseudoscience, bias, "
688,Gulf News,gulfnews.com,"right_center, "
689,gummypost,gummypost.com,", fake news, fake, "
690,Alan Guttmacher Institute,guttmacher.org,"left_center, "
691,Haaretz,haaretz.com,"left_center, "
692,Hang the Bankers,hangthebankers.com,"questionable, conspiracy, "
693,Hard Dawn,harddawn.com,"satire, "
694,Harpers,harpers.org,"left_center, "
695,Harvard Political Review,harvardpolitics.com,"least_biased, "
696,Headline News Network,headlinennews.com,"satire, "
697,Health Eternally,healtheternally.com,"pseudoscience, "
698,Health Impact News,healthimpactnews.com,"pseudoscience, junksci, bias, "
699,Health Nut News,healthnutnews.com,"pseudoscience, junksci, "
700,healthy-holistic-living,healthy-holistic-living.com,", junksci, clickbait, "
701,healthycareandbeauty,healthycareandbeauty.com,", some fake stories, fake, unreliable, "
702,healthyworldhouse,healthyworldhouse.com,", fake news, fake, "
703,Heartland Institute,heartland.org,"right, "
704,heatst,heatst.com,", clickbait, bias, "
705,Heat Street,heatst.com,"right, "
706,Helsinki Times,helsinkitimes.fi,"left_center, "
707,Journal of Politics and Society,helvidius.org,"left_center, "
708,henrymakow,henrymakow.com,", conspiracy, "
709,heresyblog,heresyblog.net,", bias, conspiracy, rumor, "
710,heritage,heritage.org,", political, "
711,Heritage Foundation,heritage.org,"right, "
712,Hillary Beat Trump,hillarybeattrump.org,"satire, "
713,History News Network,historynewsnetwork.org,"left_center, "
714,Hoax Slayer,hoax-slayer.com,"least_biased, "
715,Hollywood Reporter,hollywoodreporter.com,"left_center, "
716,holyobserver,holyobserver.com,", satire, "
717,National Rifle Association (NRA),home.nra.org,"right, "
718,Honest Reporting,honestreporting.com,"right_center, "
719,Hoover Institution,hoover.org,"right_center, "
720,Policy Review,hoover.org/publications/policy-review,"right, "
721,David Horowitz Freedom Center,horowitzfreedomcenter.org,"questionable, bias, "
722,Hot Air,hotair.com,"right, "
723,houstonchronicle-tv,houstonchronicle-tv.com,", imposter site, "
724,Houston Chronicle,houstonchronicle.com,"left_center, "
725,HowStuffWorks,howstuffworks.com,"pro_science, "
726,High Point Enterprise,hpenews.com,"right_center, "
727,Human Rights Watch,hrw.org,"left_center, "
728,Health Sciences Institute,hsionline.com,"pseudoscience, "
729,Alternative Media Syndicate,alternativemediasyndicate.com,"questionable, fake, "
730,Conservative HQ,conservativehq.com,"right, bias, "
731,loanpride,http://loanpride.com/obama-family-divorce-attorney-quit-smoking-tips/?utm_source=revcontent&utm_medium=56198&utm_term=conservative%20news&utm_content=1770992&utm_campaign=234718&utm_widget_id=56198,", rumor, clickbait, "
732,offgridsurvival,http://offgridsurvival.com/shadowgovernmentwars/,", conspiracy, bias, "
733,Center for Security Policy,http://www.bbc.com/news/world-us-canada-35037943 ;,"pseudoscience, bias, conspiracy, "
734,Knowledge of Today,http://www.knowledgeoftoday.org/2012/02/illuminati-secret-hidden-from-masses.html,"pseudoscience, conspiracy, "
735,News Biscuit,http://www.newsbiscuit.com/about/disclaimer/,"satire, satire, "
736,News Corpse,http://www.newscorpse.com/ncWP/?p=34163,"left, political, "
737,Resistance Report,http://www.politifact.com/personalities/resistance-report/,"questionable, political, unreliable, "
738,Democratic Underground,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,"left, fake, "
739,empirehearland,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,", fake, "
740,newsmagazine,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,", fake, "
741,washingtonfed,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,", fake, "
742,heartland,http://www.sourcewatch.org/index.php/Heartland_Institute,", bias, "
743,themideastbeast,http://www.themideastbeast.com/about/,", satire, "
744,immediatesafety,https://immediatesafety.org/dnc-to-hand-debbie-wasserman-schultz-over-to-isis-for-beheadding/,", fake, "
745,PJ Media,"https://mediabiasfactcheck.com/pj-media/ ;  https://pjmedia.com/about-us (ground zero mosque, 'doctored climate change data')","right, political, bias, "
746,Progressives Today,https://mediabiasfactcheck.com/progressives-today/,"questionable, bias, "
747,patriotpost.us,https://mediabiasfactcheck.com/the-patriot-post/ ; https://patriotpost.us/posts/48002 ; https://patriotpost.us/alexander/48000,", bias, "
748,wtoe5news,https://web.archive.org/web/20161115024211/http://wtoe5news.com/us-election/pope-francis-shocks-world-endorses-donald-trump-for-president-releases-statement/,", fake, satire, "
749,WikiLeaks,https://www.nytimes.com/2017/03/09/opinion/the-truth-about-the-wikileaks-cia-cache.html?_r=0,"right_center, unreliable, "
750,oathkeepers,https://www.splcenter.org/fighting-hate/extremist-files/group/oath-keepers,", bias, "
751,actforamerica.org/news,https://www.splcenter.org/fighting-hate/extremist-files/groups,", hate, "
752,adflegal.org/media,https://www.splcenter.org/fighting-hate/extremist-files/groups,", hate, "
753,americanborderpatrol,https://www.splcenter.org/fighting-hate/extremist-files/groups,", hate, "
754,amren,https://www.splcenter.org/fighting-hate/extremist-files/groups,", hate, "
755,aryannationswordwide1488,https://www.splcenter.org/fighting-hate/extremist-files/groups,", hate, "
756,barnesreview,https://www.splcenter.org/fighting-hate/extremist-files/groups,", hate, "
757,centerforsecuritypolicy.org/#articles,https://www.splcenter.org/fighting-hate/extremist-files/groups,", hate, "
758,creativitymovement.net/category/news/,https://www.splcenter.org/fighting-hate/extremist-files/groups,", hate, "
759,ihr,https://www.splcenter.org/fighting-hate/extremist-files/groups,", hate, "
760,nationalvanguard,https://www.splcenter.org/fighting-hate/extremist-files/groups,", hate, "
761,Hudson Institute,hudson.org,"right, "
762,Human Events,humanevents.com,"right, "
763,Human Progress,humanprogress.org,"right_center, "
764,Humans Are Free,humansarefree.com,"pseudoscience, conspiracy, "
765,humortimes,humortimes.com,", satire, "
766,Hurriyet Daily News,hurriyetdailynews.com,"left_center, "
767,Huzlers,huzlers.com,"satire, satire, "
768,I24 News,i24news.tv,"least_biased, "
769,International Business Times,ibtimes.com,"least_biased, "
770,Ice News,icenews.is,"left_center, "
771,International Consortium of Investigative Journalists,icij.org,"least_biased, "
772,icr,icr.org,", junksci, "
773,International Center for Research on Women,icrw.org,"left_center, "
774,International Energy Agency,iea.org,"least_biased, "
775,If America Knew,ifamericaknew.org,"left_center, "
776,IFL Science,iflscience.com,"pro_science, "
777,If You Only News,ifyouonlynews.com,"questionable, unreliable, satire, "
778,I have the Truth,ihavethetruth.com,"questionable, bias, clickbait, fake, "
779,ijr,ijr.com,", political, bias, unreliable, "
780,Independent Journal Review,ijr.com,"right, "
781,Illuminati News,illuminati-news.com,"pseudoscience, conspiracy, "
782,Illuminati Watcher,illuminatiwatcher.com,"pseudoscience, "
783,I Love My Freedom,ilovemyfreedom.org,"questionable, bias, clickbait, "
784,ilovenativeamericans.us,ilovenativeamericans.us,", some fake stories, "
785,in5d,in5d.com,", junksci, "
786,The Independent,independent.co.uk/us,"left_center, "
787,Irish Independent,independent.ie,"right_center, "
788,The Independent Review,independent.org,"right_center, "
789,Independent Living News,independentlivingnews.com,"pseudoscience, "
790,Independent Sentinel,independentsentinel.com,"right, "
791,Independent Voter Network (IVN),independentvoternetwork(ivn).com,"least_biased, "
